rank	ss	count	pct
1	(((((((((....)))))))))	28968	96.55
2	((((((((......))))))))	234	0.78
3	.((((((((....)))))))).	211	0.70
4	(((((.(((....))).)))))	175	0.58
5	((((((.((....)).))))))	139	0.46
6	((((((.((....))).)))))	66	0.22
7	(((((((.(....).)))))))	61	0.20
8	((((.((((....)))).))))	37	0.12
9	(.(((((((....))))))).)	21	0.07
10	(((.(((((....))))).)))	14	0.05
11	((.((((((....)))))).))	13	0.04
12	....(((((....)))))....	11	0.04
13	(((((((........)))))))	10	0.03
14	(((((((((.(.))))))))))	6	0.02
15	(.(((((((....)))))))).	6	0.02
16	((((((..........))))))	6	0.02
17	......................	3	0.01
18	((((((.........).)))))	2	0.01
19	(((((.(((....)))).))))	2	0.01
20	((((((((.(...)))))))))	2	0.01
21	(((((..((....))..)))))	2	0.01
22	......(........)......	1	0.00
23	(....((((....))))...).	1	0.00
24	(...(((((....)))))..).	1	0.00
25	.......((....)).......	1	0.00
26	....(.(((....)))).....	1	0.00
27	..(((............)))..	1	0.00
28	.(((((..........))))).	1	0.00
29	.(((((.((....))).)))).	1	0.00
30	.(((.(((......))).))).	1	0.00
31	((((..(((....)))..))))	1	0.00
32	((((((.(......).))))))	1	0.00
33	.((((.(((....))).)))).	1	0.00
34	.(((((.((....)).))))).	1	0.00
35	.(((((((......))))))).	1	0.00
